question,choices,answerKey
Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?,"{'text': ['to attract bees for pollination', 'to create flower arrangements', 'to protect the tree from disease', 'to feed migratory birds'], 'label': ['A', 'B', 'C', 'D']}",A
A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?,"{'text': ['tree rings', 'pollen samples', 'harvest production', 'carbon dating'], 'label': ['A', 'B', 'C', 'D']}",A
Which of these would help to prevent infections from occurring in small cuts and scrapes?,"{'text': ['apply a cold ice pack', 'raise the injured area', 'apply pressure to stop bleeding', 'wash the area with warm, soapy water'], 'label': ['A', 'B', 'C', 'D']}",D
Which best describes why winds at the beach change direction between day and night?,"{'text': ['because the temperatures over land and over water change', 'because warm air over land sinks and stays in place over land', 'because cool air rises and is replaced by warm air from the ocean', 'because cool air sinks and stays in place over land'], 'label': ['A', 'B', 'C', 'D']}",A
Soil erosion can be best prevented by,"{'text': ['removing grass from the steepest slope.', 'building terraces into the sides of a slope.', 'heavily watering the vegetation on the slope.', 'increasing the slope of the land by adding more soil.'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following properties provides the BEST way to identify a mineral?,"{'text': ['hardness', 'shape', 'size', 'temperature'], 'label': ['A', 'B', 'C', 'D']}",A
Which sequence represents the order of development for many plants?,"{'text': ['seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows', 'seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows', 'seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit', 'seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit'], 'label': ['1', '2', '3', '4']}",1
"When ice cream is left out of a freezer, the ice cream changes from a ___.","{'text': ['solid to a gas', 'gas to a liquid', 'solid to a liquid', 'liquid to a gas'], 'label': ['A', 'B', 'C', 'D']}",C
Which equipment will best separate a mixture of iron filings and black pepper?,"{'text': ['magnet', 'filter paper', 'triple-beam balance', 'voltmeter'], 'label': ['1', '2', '3', '4']}",1
Which characteristic is shared by all cells?,"{'text': ['They need energy.', 'They reproduce sexually.', 'They make their own food.', 'They move from place to place.'], 'label': ['A', 'B', 'C', 'D']}",A
"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?","{'text': ['birds with long, probing beaks', 'birds with thick, strong beaks', 'birds with thin, short beaks', 'birds with large, pouch beaks'], 'label': ['A', 'B', 'C', 'D']}",B
"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?","{'text': ['Both have undergone similar mutations.', 'Both descended from a common ancestor.', 'Both reacted similarly to environmental pressures.', 'Both spread out from the same geographical region.'], 'label': ['A', 'B', 'C', 'D']}",B
A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning,"{'text': ['cell membrane.', 'endoplasmic reticulum.', 'Golgi body.', 'nuclear envelope.'], 'label': ['A', 'B', 'C', 'D']}",A
Which best describes all unicellular organisms?,"{'text': ['Every cell is round.', 'Every cell can make food.', 'Every cell can move on its own.', 'Every cell performs all life functions.'], 'label': ['A', 'B', 'C', 'D']}",D
"When a transverse wave passes from right to left through a medium, what happens to the particles of the medium?","{'text': ['Particles travel from right to left along the wave.', 'Particles travel from left to right along the wave.', 'Particles move back and forth parallel to the wave.', 'Particles move back and forth perpendicular to the wave.'], 'label': ['A', 'B', 'C', 'D']}",D
Which characteristic below most likely accounts for our limited knowledge of galaxies?,"{'text': ['their tiny size', 'their magnetic cores', 'their inability to produce light', 'their great distance from Earth'], 'label': ['A', 'B', 'C', 'D']}",D
Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile?,"{'text': ['by adding carbon', 'by adding nitrogen', 'by removing excess water', 'by removing excess minerals'], 'label': ['A', 'B', 'C', 'D']}",B
"When oxygen combines with hydrogen, which substance is formed?","{'text': ['water', 'vinegar', 'hydrochloric acid', 'hydrogen dioxide'], 'label': ['A', 'B', 'C', 'D']}",A
"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?","{'text': ['chemical energy', 'kinetic energy', 'light energy', 'heat energy'], 'label': ['A', 'B', 'C', 'D']}",A
Which of the following is a typical example of a unicellular organism?,"{'text': ['earthworm', 'bacteria', 'fungi', 'green algae'], 'label': ['A', 'B', 'C', 'D']}",B
"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?","{'text': ['erosion of sediment from a mountain range', 'mass extinction of marine organisms', 'formation of an ocean trench', 'melting of polar ice caps'], 'label': ['A', 'B', 'C', 'D']}",D
Which body system is most responsible for the removal of waste?,"{'text': ['skeletal system', 'nervous system', 'muscular system', 'excretory system'], 'label': ['A', 'B', 'C', 'D']}",D
In which environment is white fur color an advantage for survival?,"{'text': ['desert', 'grassland', 'arctic tundra', 'temperate forest'], 'label': ['A', 'B', 'C', 'D']}",C
Which of these will best separate iron filings from sand?,"{'text': ['water', 'a magnifying glass', 'a magnet', 'rubbing alcohol'], 'label': ['A', 'B', 'C', 'D']}",C
Which of these is the chemical symbol for magnesium?,"{'text': ['Ma', 'Mg', 'Mn', 'Mu'], 'label': ['A', 'B', 'C', 'D']}",B
Which of the following is most likely to lead to error in an experiment?,"{'text': ['bias', 'repeated trials', 'peer review', 'use of a control'], 'label': ['A', 'B', 'C', 'D']}",A
Which best describes transportation technology?,"{'text': ['a system that is used to move people and products', 'an enterprise that changes raw materials into goods', 'the building and finishing of structures', 'the conversion of mechanical energy into heat energy'], 'label': ['A', 'B', 'C', 'D']}",A
"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?","{'text': ['radiant energy', 'nuclear energy', 'electrical energy', 'mechanical energy'], 'label': ['A', 'B', 'C', 'D']}",D
Which characteristic is affected by interactions with the environment?,"{'text': ['weight', 'eye color', 'blood type', 'handedness'], 'label': ['A', 'B', 'C', 'D']}",A
Which is the greatest impact humans have had on the carbon cycle?,"{'text': ['clear-cutting forests', 'manufacturing plastics', 'burning fossil fuels', 'growing agricultural crops'], 'label': ['A', 'B', 'C', 'D']}",C
The floating arrow on a compass always points towards the,"{'text': ['west.', 'east.', 'south.', 'north.'], 'label': ['A', 'B', 'C', 'D']}",D
"Which color shirt will reflect the most light on a hot, sunny day?","{'text': ['black', 'blue', 'red', 'white'], 'label': ['A', 'B', 'C', 'D']}",D
"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?","{'text': ['Iron is twice as dense as aluminum.', 'Atoms of aluminum are smaller than atoms of iron.', 'Using equal masses results in similar heat capacities.', 'The specific heat of iron is less than that of aluminum.'], 'label': ['A', 'B', 'C', 'D']}",D
"If its food supply in a field decreases, the mouse population in that field will probably","{'text': ['increase.', 'decrease.', 'remain the same.', 'become extinct.'], 'label': ['A', 'B', 'C', 'D']}",B
Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,"{'text': ['release of carbon into the atmosphere', 'release of oxygen into the atmosphere', 'cycling phosphorus into the soil', 'cycling hydrogen into the soil'], 'label': ['A', 'B', 'C', 'D']}",C
Which of the following is an example of a physical change but not a chemical change?,"{'text': ['A log gives off heat and light as it burns.', 'A tree stores energy from the Sun in its fruit.', 'A penny lost in the grass slowly changes color.', 'A water pipe freezes and cracks on a cold night.'], 'label': ['A', 'B', 'C', 'D']}",D
"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the","{'text': ['room is totally dark.', 'light source is ultraviolet.', 'beam of light does not travel toward the students.', 'room walls are shielded with insulating material.'], 'label': ['A', 'B', 'C', 'D']}",C
One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?,"{'text': ['the amount of fertilizer added', 'the height of the fertilized plants', 'the size of each tomato produced', 'the number of tomatoes produced'], 'label': ['A', 'B', 'C', 'D']}",A
A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,"{'text': ['Wheel and axle', 'Lever', 'Inclined plane', 'Screw'], 'label': ['A', 'B', 'C', 'D']}",B
Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?,"{'text': ['iron and water', 'iron and oxygen', 'iron and air', 'iron and acid'], 'label': ['A', 'B', 'C', 'D']}",B
The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the,"{'text': ['reactants.', 'products.', 'catalysts.', 'inhibitors.'], 'label': ['A', 'B', 'C', 'D']}",B
What role does the centromere play in cellular reproduction?,"{'text': ['It is the area where microtubules are formed.', 'It is the area where the nucleus is during cell division.', 'It is the area of alignment for the chromosomes.', 'It is the area of attachment for chromatids.'], 'label': ['A', 'B', 'C', 'D']}",D
"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will","{'text': ['melt at -47.5°C.', 'melt at -95°C.', 'boil at 95°C.', 'boil at 47.5°C.'], 'label': ['A', 'B', 'C', 'D']}",B
"A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel. When the car was driven on a test track, the car only went 25 miles on a gallon of fuel. What accounts for most of the difference?","{'text': ['the mass of the driver and the fuel carried by the car', 'the wind resistance between the car and the air nearby', 'the waste heat from the combustion of fuel in the engine', 'the friction between the tires and the surface of the track'], 'label': ['A', 'B', 'C', 'D']}",C
A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,"{'text': ['pie graph', 'line graph', 'scatterplot', 'box-and-whisker plot'], 'label': ['A', 'B', 'C', 'D']}",B
"When light is bounced off a mirror, the light is","{'text': ['reflected.', 'refracted.', 'absorbed.', 'diffracted.'], 'label': ['A', 'B', 'C', 'D']}",A
Which of the following sentences best explains what happens when puddles evaporate?,"{'text': ['The water absorbs into the ground.', 'The particles of matter move more slowly.', 'The water changes from one form to another.', 'The particles of matter move closer together.'], 'label': ['A', 'B', 'C', 'D']}",C
Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?,"{'text': ['to release gases', 'to release water', 'to absorb energy', 'to absorb nutrients'], 'label': ['A', 'B', 'C', 'D']}",D
"In animal skin tissue, cell division is responsible for","{'text': ['growth and repair', 'sexual reproduction', 'obtaining energy', 'production of sex cells'], 'label': ['1', '2', '3', '4']}",1
Which process drives most of the ATP synthesis in a chloroplast?,"{'text': ['flow of protons across an electrochemical gradient', 'flow of tRNA across an electrochemical gradient', 'exposure of ADP to electromagnetic waves', 'exposure of carbohydrates to electromagnetic waves'], 'label': ['A', 'B', 'C', 'D']}",A
Which of the following is most consistent with the modern theory of evolution?,"{'text': ['Parents pass their physical traits to their offspring; those offspring with traits that help them survive in the environment are able to reproduce.', 'Parents change their physical traits in order to survive in the environment, then those parental traits are passed to their offspring.', 'Life on this planet came from another planet far out in space.', 'Living organisms have not changed for hundreds of millions of years.'], 'label': ['A', 'B', 'C', 'D']}",A
Felicia investigated whether water color affected how fast the water heated in sunlight. She poured tap water into five beakers and placed food coloring in four out of the five beakers. Felicia then used a thermometer to measure the temperature of the water in each of the beakers. Which of these was used as control in her investigation?,"{'text': ['mixing the food coloring in water', 'testing the beaker of uncolored tap water', 'using the same amount of water in each trial', 'testing the colored water samples at different times'], 'label': ['A', 'B', 'C', 'D']}",B
One process in the formation of sedimentary rocks is when rocks are,"{'text': ['compressed by moving plates.', 'heated and subjected to high pressure.', 'broken up and deposited in layers.', 'moved up along fault planes.'], 'label': ['A', 'B', 'C', 'D']}",C
Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,"{'text': ['camouflage.', 'mimicry.', 'mutualism.', 'parasitism.'], 'label': ['A', 'B', 'C', 'D']}",B
Which plant trait is inherited?,"{'text': ['the shape of its leaves', 'the amount of water it receives', 'the number of minerals it absorbs from soil', 'the level of sunlight to which it is exposed'], 'label': ['A', 'B', 'C', 'D']}",A
"A student put 200 milliliters (mL) of water into a pot, sets the pot on a burner, and heats the water to boil. When the pot is taken off the burner, it contains only 180 milliliters (mL) of water. What happened to the rest of the water?","{'text': ['It was used up.', 'It condensed.', 'It was absorbed by the heat.', 'It turned into water vapor.'], 'label': ['A', 'B', 'C', 'D']}",D
Howie put his plants under a plant light. What was he helping his plants do by providing light?,"{'text': ['make food', 'attract insects', 'release pollen', 'grow roots'], 'label': ['A', 'B', 'C', 'D']}",A
Which lists the diameter of the planets in order from smallest to largest?,"{'text': ['Venus, Earth, Mercury, Mars', 'Earth, Mars, Venus, Mercury', 'Mars, Mercury, Earth, Venus', 'Mercury, Mars, Venus, Earth'], 'label': ['A', 'B', 'C', 'D']}",D
The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?,"{'text': ['one near the ocean', 'one with dry conditions', 'one with a variety of organisms', 'one that receives a lot of sunlight'], 'label': ['A', 'B', 'C', 'D']}",B
"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused","{'text': ['by the reversal of the magnetic field of Earth.', 'when fluorocarbons are released into the atmosphere.', 'when electromagnetic waves from the Sun increase.', 'by abrupt changes in weather and climate patterns.'], 'label': ['A', 'B', 'C', 'D']}",B
Owen tested a physical property of a mineral. He rubbed a mineral sample on a piece of white tile. The mineral left a red mark on the tile. Which of the following physical properties of the mineral was Owen most likely testing?,"{'text': ['cleavage', 'hardness', 'luster', 'streak'], 'label': ['A', 'B', 'C', 'D']}",D
Which of these animals has a young form that looks the most like the adult form?,"{'text': ['moth', 'human', 'frog', 'butterfly'], 'label': ['A', 'B', 'C', 'D']}",B
Two tectonic plates pushing toward each other cause intense heat and pressure in Earth's crust. Into which will crust material be changed by heat and pressure?,"{'text': ['fossils', 'sediments', 'igneous rock', 'metamorphic rock'], 'label': ['A', 'B', 'C', 'D']}",D
A student states that plants grow taller when grown in natural light than they do in artificial light. Which method is the best way to determine if the statement is fact or opinion?,"{'text': ['conduct a controlled experiment', 'discuss the statement with other students', 'ask several teachers their thoughts', 'propose a scientific conclusion'], 'label': ['A', 'B', 'C', 'D']}",A
Which object is powered by an electrical circuit?,"{'text': ['a drum', 'a flashlight', 'a matchstick', 'a wind-up toy'], 'label': ['A', 'B', 'C', 'D']}",B
"Which concept supports the endosymbiotic origin of complex, eukaryotic double-membrane structures?","{'text': ['Mitochondria and chloroplasts arise from preexisting mitochondria and chloroplasts.', 'Mitochondria and chloroplasts arise from preexisting endomembrane systems.', 'Mitochondria and chloroplasts are synthesized in the nucleus.', 'Mitochondria and chloroplasts are synthesized in ribosomes.'], 'label': ['A', 'B', 'C', 'D']}",A
Which of these human activities most relies on high-quality soil?,"{'text': ['Hiking', 'Hunting', 'Coal mining', 'Growing crops'], 'label': ['A', 'B', 'C', 'D']}",D
What is an example of a shelter in an ecosystem?,"{'text': ['a gray squirrel eating an acorn', 'a raccoon in a hollow log', 'a blue whale migrating', 'a tick feeding on a coyote'], 'label': ['A', 'B', 'C', 'D']}",B
Some areas of the world are experiencing more desert-like conditions. This change most favors survival of species with the ability to do which of the following?,"{'text': ['consume large amounts of food', 'become dormant for long periods', 'sense infrared and ultraviolet light', 'transpire water through the skin to the atmosphere'], 'label': ['A', 'B', 'C', 'D']}",B
Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?,"{'text': ['The eruption of a volcano', 'The erosion of the walls of a canyon', 'The uplifting of mountain ranges', 'The forming of dunes or mounds in a desert'], 'label': ['A', 'B', 'C', 'D']}",B
"When an earthquake wave passes from the crust to the mantle, the wave","{'text': ['reverses direction.', 'changes speed.', 'increases energy.', 'stops moving.'], 'label': ['A', 'B', 'C', 'D']}",B
A student wraps a wire around an iron nail. The student then connects the wire to a battery. The nail attracts another nail and they stick together. What force holds the two nails together?,"{'text': ['gravitational force', 'magnetic force', 'electric force', 'friction force'], 'label': ['A', 'B', 'C', 'D']}",B
Natural processes cause rapid and slow changes to Earth's surface. Which event causes changes to Earth's surface most rapidly?,"{'text': ['an earthquake shaking the ground', 'sediment washing into a bay', 'a rainstorm weathering rock', 'water flowing in stream'], 'label': ['A', 'B', 'C', 'D']}",A
"Since 1961, Nevada has led the United States in production of which resource?","{'text': ['gold', 'uranium', 'lumber', 'iron'], 'label': ['A', 'B', 'C', 'D']}",A
A class is testing the effect of exercise on heart rate. The heart rate of two students before exercise is compared to their heart rate after running around a track. Which procedure will most likely help the class correctly compare the results of the two students?,"{'text': ['test students who are the same height', 'have the students run on the same day', 'measure the distance each student runs', 'have the students run for the same amount of time'], 'label': ['A', 'B', 'C', 'D']}",D
Which interaction within an ecosystem is characterized by gradual change from one community of organisms to another?,"{'text': ['symbiosis', 'food webs', 'energy pyramids', 'succession'], 'label': ['A', 'B', 'C', 'D']}",D
The continuous changes of a seed to an adult plant that produces seeds is known as a,"{'text': ['lunar cycle.', 'weekly cycle.', 'daily cycle.', 'life cycle.'], 'label': ['A', 'B', 'C', 'D']}",D
"When someone plays the flute, sound is produced because the air in the flute is","{'text': ['hot.', 'neutral.', 'vibrating.', 'vaporizing.'], 'label': ['A', 'B', 'C', 'D']}",C
Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon. This finding caused scientists to question whether Pluto is a planet because,"{'text': [""Pluto gets less sunlight than Earth's moon"", 'the other planets are much larger than Pluto', 'the other planets have moons and Pluto does not', 'Pluto rotates on its axis and the other planets do not'], 'label': ['A', 'B', 'C', 'D']}",B
"When an iron nail wrapped in a copper wire is attached to a circuit, it forms","{'text': ['a battery.', 'an engine.', 'an insulator.', 'an electromagnet.'], 'label': ['A', 'B', 'C', 'D']}",D
Which gas accounts for the largest percentage of greenhouse gases in the atmosphere?,"{'text': ['carbon monoxide', 'carbon dioxide', 'nitrous oxide', 'water vapor'], 'label': ['A', 'B', 'C', 'D']}",D
Which human body system attacks viruses and bacteria once they have invaded the body?,"{'text': ['circulatory', 'endocrine', 'digestive', 'immune'], 'label': ['A', 'B', 'C', 'D']}",D
The atoms that make up oxygen gas,"{'text': ['share two covalent bonds.', 'have a definite shape.', 'share a pair of neutrons.', 'have two free electrons.'], 'label': ['A', 'B', 'C', 'D']}",A
A student wants to cut a piece of string for a class activity. The length of the string is measured BEST in which units?,"{'text': ['Gallons', 'Liters', 'Miles', 'Centimeters'], 'label': ['A', 'B', 'C', 'D']}",D
"If the atomic mass number of an atom is 35, which statement is most accurate?","{'text': ['The atom is not an isotope.', 'The atomic number is less than 17.', 'The atom has an odd number of neutrons.', 'The number of protons does not equal the number of neutrons.'], 'label': ['A', 'B', 'C', 'D']}",D
Biotic components need to be recycled through an ecosystem. Which type of organisms are best able to recycle nutrients back into the ecosystem?,"{'text': ['decomposers', 'predators', 'producers', 'scavengers'], 'label': ['A', 'B', 'C', 'D']}",A
"Roger visited his grandfather who lives on a farm. While he was there, he helped his grandfather move hay out of the barn. As Roger worked in the barn he began sneezing. Which system of the body most likely caused Roger to sneeze?","{'text': ['circulatory', 'excretory', 'digestive', 'immune'], 'label': ['A', 'B', 'C', 'D']}",D
Why should plants be included in investigations about the water cycle?,"{'text': ['Plants speed up the water cycle by removing carbon from the air.', 'Plants start the water cycle when they make water in photosynthesis.', 'Plants are part of the water cycle through the process of transpiration.', 'Plants stop the water cycle because they absorb it and stop the flow to streams.'], 'label': ['A', 'B', 'C', 'D']}",C
Which statement best identifies a basic need of all animals?,"{'text': ['They need to eat.', 'They need to hide.', 'They need to jump.', 'They need to smell.'], 'label': ['A', 'B', 'C', 'D']}",A
Which of the following describes an instinctive behavior?,"{'text': ['a behavior that occurs only in adult fish', 'a behavior that occurs only in small mammals', 'a behavior that an animal learns how to do over time', 'a behavior that an animal is born knowing how to do'], 'label': ['A', 'B', 'C', 'D']}",D
Which of these provide the best evidence that life could develop on Mars?,"{'text': ['its atmospheric gases', 'its surface temperatures', 'its craters and rocky surface', 'its ice and organic molecules'], 'label': ['A', 'B', 'C', 'D']}",D
The primary reason that plants are important for an ecosystem is because they,"{'text': ['provide energy for consumers.', 'depend on other organisms for shelter.', 'break down dead animal matter.', 'consume nutrients for energy.'], 'label': ['A', 'B', 'C', 'D']}",A
Energy from the Sun reaches Earth by,"{'text': ['radiation.', 'conduction.', 'convection.', 'thermal expansion.'], 'label': ['A', 'B', 'C', 'D']}",A
Scientists study the current conditions of many solar system objects to gain insight into conditions early in the history of Earth. Which phenomenon most closely models current theories of early Earth?,"{'text': ['liquid forming valleys on Mars', 'hundreds of active volcanoes on Io', 'rock and ice forming the core of Neptune', 'ice covering the entire surface of Europa'], 'label': ['A', 'B', 'C', 'D']}",B
"Jonathan places a pot of water on a stove. As the water boils, how does the state of the water change?","{'text': ['from gas to liquid', 'from liquid to gas', 'from liquid to solid', 'from solid to liquid'], 'label': ['A', 'B', 'C', 'D']}",B
Animal cells obtain energy by,"{'text': ['processing sunlight.', 'absorbing nutrients.', 'growing.', 'dividing.'], 'label': ['A', 'B', 'C', 'D']}",B
Which illness is associated with a weakened immune system in the body?,"{'text': ['tetanus', 'cancer', 'measles', 'rabies'], 'label': ['A', 'B', 'C', 'D']}",B
"In the human kidney, urea from the blood is filtered through the glomerular membrane into a nephron. The movement of urea across this membrane occurs without an input of energy. Which factor is the most likely reason urea absorption does not require energy?","{'text': ['a pH imbalance', 'a pressure difference', 'a temperature increase', 'a concentration gradient'], 'label': ['A', 'B', 'C', 'D']}",D
The greatest amount of diversity can be found among which type of organism?,"{'text': ['plants', 'animals', 'bacteria', 'fungi'], 'label': ['A', 'B', 'C', 'D']}",C
Which energy type is common enough in Nevada to make a significant contribution to the renewable energy needs of the state?,"{'text': ['coal', 'geothermal', 'natural gas', 'petroleum'], 'label': ['A', 'B', 'C', 'D']}",B
"Until recently the Grand Canyon was thought to be about 5-6 million years old. Recently a scientist gathered data and wrote a paper for a scientific journal that indicated the canyon is about 17 million years old. Before this new information about the canyon is accepted, which of these needs to occur?","{'text': ['The scientist needs to publish additional papers.', 'The scientist needs to obtain government support.', 'Other scientists need to state their beliefs.', 'Many scientists need to evaluate the data.'], 'label': ['A', 'B', 'C', 'D']}",D
